date,symbol,frequency,open,high,low,close,volume,amount,position
2024-10-16 00:00:00,SHFE.rb2510,1d,3506.0,3593.0,3506.0,3551.0,1209,43129940.0,879
2024-10-17 00:00:00,SHFE.rb2510,1d,3565.0,3593.0,3400.0,3401.0,2439,85224850.0,1785
2024-10-18 00:00:00,SHFE.rb2510,1d,3400.0,3494.0,3400.0,3443.0,2277,78161860.0,2639
2024-10-21 00:00:00,SHFE.rb2510,1d,3443.0,3483.0,3442.0,3463.0,1799,62381370.0,3046
2024-10-22 00:00:00,SHFE.rb2510,1d,3467.0,3478.0,3418.0,3441.0,3199,110051440.0,3163
2024-10-23 00:00:00,SHFE.rb2510,1d,3442.0,3466.0,3422.0,3434.0,1351,46502920.0,3459
2024-10-24 00:00:00,SHFE.rb2510,1d,3420.0,3445.0,3407.0,3441.0,1385,47442390.0,3754
2024-10-25 00:00:00,SHFE.rb2510,1d,3444.0,3491.0,3439.0,3475.0,2704,93863650.0,4621
2024-10-28 00:00:00,SHFE.rb2510,1d,3482.0,3577.0,3479.0,3565.0,1831,64785290.0,4921
2024-10-29 00:00:00,SHFE.rb2510,1d,3563.0,3571.0,3520.0,3534.0,1264,44792910.0,5171
2024-10-30 00:00:00,SHFE.rb2510,1d,3550.0,3572.0,3523.0,3548.0,1565,55459120.0,5423
2024-10-31 00:00:00,SHFE.rb2510,1d,3541.0,3561.0,3531.0,3546.0,1150,40753810.0,5675
2024-11-01 00:00:00,SHFE.rb2510,1d,3557.0,3557.0,3502.0,3522.0,2717,95791780.0,6238
2024-11-04 00:00:00,SHFE.rb2510,1d,3524.0,3566.0,3490.0,3552.0,3928,138367740.0,6553
2024-11-05 00:00:00,SHFE.rb2510,1d,3560.0,3570.0,3533.0,3555.0,2415,85877410.0,7171
2024-11-06 00:00:00,SHFE.rb2510,1d,3562.0,3566.0,3498.0,3537.0,5347,189072410.0,7410
2024-11-07 00:00:00,SHFE.rb2510,1d,3524.0,3561.0,3509.0,3561.0,3580,126714060.0,7614
2024-11-08 00:00:00,SHFE.rb2510,1d,3558.0,3579.0,3503.0,3511.0,5230,185311100.0,8286
2024-11-11 00:00:00,SHFE.rb2510,1d,3504.0,3524.0,3450.0,3463.0,5091,177443400.0,8626
2024-11-12 00:00:00,SHFE.rb2510,1d,3463.0,3480.0,3438.0,3465.0,4685,162095350.0,9475
2024-11-13 00:00:00,SHFE.rb2510,1d,3465.0,3484.0,3450.0,3462.0,2772,96079650.0,9865
2024-11-14 00:00:00,SHFE.rb2510,1d,3465.0,3474.0,3432.0,3435.0,2682,92500690.0,10359
2024-11-15 00:00:00,SHFE.rb2510,1d,3435.0,3444.0,3367.0,3368.0,5669,192797860.0,11284
2024-11-18 00:00:00,SHFE.rb2510,1d,3371.0,3412.0,3368.0,3407.0,6730,228384600.0,11709
2024-11-19 00:00:00,SHFE.rb2510,1d,3410.0,3456.0,3392.0,3456.0,5042,172989580.0,12026
2024-11-20 00:00:00,SHFE.rb2510,1d,3456.0,3456.0,3428.0,3447.0,2604,89696500.0,12026
2024-11-21 00:00:00,SHFE.rb2510,1d,3446.0,3464.0,3436.0,3449.0,2970,102528060.0,12107
2024-11-22 00:00:00,SHFE.rb2510,1d,3449.0,3458.0,3404.0,3407.0,5541,189493030.0,11738
2024-11-25 00:00:00,SHFE.rb2510,1d,3407.0,3455.0,3405.0,3422.0,5859,200864750.0,12047
2024-11-26 00:00:00,SHFE.rb2510,1d,3422.0,3447.0,3422.0,3423.0,3594,123327730.0,11956
2024-11-27 00:00:00,SHFE.rb2510,1d,3414.0,3437.0,3408.0,3430.0,3218,110213250.0,12754
2024-11-28 00:00:00,SHFE.rb2510,1d,3429.0,3437.0,3414.0,3425.0,4122,141201870.0,14543
2024-11-29 00:00:00,SHFE.rb2510,1d,3427.0,3460.0,3419.0,3434.0,3007,103473160.0,14433
2024-12-02 00:00:00,SHFE.rb2510,1d,3437.0,3468.0,3429.0,3468.0,5482,189210570.0,14857
2024-12-03 00:00:00,SHFE.rb2510,1d,3468.0,3484.0,3461.0,3484.0,3123,108443490.0,14704
2024-12-04 00:00:00,SHFE.rb2510,1d,3485.0,3490.0,3444.0,3466.0,6665,231013620.0,15888
2024-12-05 00:00:00,SHFE.rb2510,1d,3459.0,3477.0,3400.0,3405.0,9836,337909872.0,17415
2024-12-06 00:00:00,SHFE.rb2510,1d,3394.0,3411.0,3371.0,3373.0,9775,331559952.0,18954
2024-12-09 00:00:00,SHFE.rb2510,1d,3355.0,3409.0,3350.0,3390.0,12609,426076928.0,21263
2024-12-10 00:00:00,SHFE.rb2510,1d,3443.0,3515.0,3443.0,3456.0,26648,926191776.0,25623
2024-12-11 00:00:00,SHFE.rb2510,1d,3449.0,3478.0,3449.0,3470.0,9623,333294544.0,27674
2024-12-12 00:00:00,SHFE.rb2510,1d,3470.0,3487.0,3456.0,3482.0,9111,316328928.0,28798
2024-12-13 00:00:00,SHFE.rb2510,1d,3477.0,3477.0,3397.0,3407.0,16942,579753936.0,31877
2024-12-16 00:00:00,SHFE.rb2510,1d,3403.0,3422.0,3381.0,3401.0,17912,608461536.0,36293
2024-12-17 00:00:00,SHFE.rb2510,1d,3401.0,3415.0,3393.0,3402.0,8971,305409184.0,38208
2024-12-18 00:00:00,SHFE.rb2510,1d,3390.0,3400.0,3350.0,3359.0,15262,515594848.0,43483
2024-12-19 00:00:00,SHFE.rb2510,1d,3348.0,3366.0,3302.0,3325.0,20720,690200416.0,47500
2024-12-20 00:00:00,SHFE.rb2510,1d,3322.0,3331.0,3312.0,3319.0,11096,368632512.0,50525
2024-12-23 00:00:00,SHFE.rb2510,1d,3325.0,3346.0,3295.0,3331.0,16593,551431856.0,52184
2024-12-24 00:00:00,SHFE.rb2510,1d,3338.0,3354.0,3311.0,3350.0,16057,535147216.0,56721
2024-12-25 00:00:00,SHFE.rb2510,1d,3343.0,3353.0,3332.0,3339.0,9559,319655520.0,58707
2024-12-26 00:00:00,SHFE.rb2510,1d,3334.0,3368.0,3332.0,3344.0,15730,526929904.0,62184
2024-12-27 00:00:00,SHFE.rb2510,1d,3344.0,3349.0,3299.0,3305.0,36260,1206531872.0,72749
2024-12-30 00:00:00,SHFE.rb2510,1d,3297.0,3344.0,3297.0,3342.0,33555,1113901152.0,79480
2024-12-31 00:00:00,SHFE.rb2510,1d,3340.0,3351.0,3326.0,3336.0,22134,738646704.0,83097
2025-01-02 00:00:00,SHFE.rb2510,1d,3330.0,3358.0,3306.0,3330.0,25655,855781232.0,86003
2025-01-03 00:00:00,SHFE.rb2510,1d,3335.0,3335.0,3288.0,3297.0,30877,1021349392.0,93888
2025-01-06 00:00:00,SHFE.rb2510,1d,3297.0,3315.0,3272.0,3273.0,36305,1194454608.0,102506
2025-01-07 00:00:00,SHFE.rb2510,1d,3320.0,3320.0,3251.0,3258.0,27751,907881088.0,109184
2025-01-08 00:00:00,SHFE.rb2510,1d,3252.0,3269.0,3222.0,3231.0,25218,818219504.0,115270
2025-01-09 00:00:00,SHFE.rb2510,1d,3236.0,3236.0,3205.0,3224.0,30608,985952080.0,122033
2025-01-10 00:00:00,SHFE.rb2510,1d,3224.0,3239.0,3212.0,3228.0,30156,972554656.0,128537
2025-01-13 00:00:00,SHFE.rb2510,1d,3240.0,3280.0,3231.0,3274.0,37293,1216113472.0,129386
